"GEO","SEX","CAS","LMS","COC","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"CY","T","POP","MAR","TOTAL","Y_GE85","2011","0","",""
"CY","T","POP","MAR","TOTAL","Y_LT15","2011","0","",""
"CY","T","POP","REP","TOTAL","TOTAL","2011","0","",""
"CY","T","POP","REP","TOTAL","Y15-29","2011","0","",""
"CY","T","POP","REP","TOTAL","Y30-49","2011","0","",""
"CY","T","POP","REP","TOTAL","Y50-64","2011","0","",""
"CY","T","POP","REP","TOTAL","Y65-84","2011","0","",""
"CY","T","POP","REP","TOTAL","Y_GE85","2011","0","",""
"CY","T","POP","REP","TOTAL","Y_LT15","2011","0","",""
"CY","T","POP","SIN","TOTAL","TOTAL","2011","0","",""
"CY","T","POP","SIN","TOTAL","Y15-29","2011","0","",""
"CY","T","POP","SIN","TOTAL","Y30-49","2011","0","",""
"CY","T","POP","SIN","TOTAL","Y50-64","2011","0","",""
"CY","T","POP","SIN","TOTAL","Y65-84","2011","0","",""
"CY","T","POP","SIN","TOTAL","Y_GE85","2011","0","",""
"CY","T","POP","SIN","TOTAL","Y_LT15","2011","0","",""
"CY","T","POP","TOTAL","TOTAL","TOTAL","2011","0","",""
"CY","T","POP","TOTAL","TOTAL","Y15-29","2011","0","",""
"CY","T","POP","TOTAL","TOTAL","Y30-49","2011","0","",""
"CY","T","POP","TOTAL","TOTAL","Y50-64","2011","0","",""
"CY","T","POP","TOTAL","TOTAL","Y65-84","2011","0","",""
"CY","T","POP","TOTAL","TOTAL","Y_GE85","2011","0","",""
"CY","T","POP","TOTAL","TOTAL","Y_LT15","2011","0","",""
"CY","T","POP","UNK","TOTAL","TOTAL","2011","0","",""
"CY","T","POP","UNK","TOTAL","Y15-29","2011","0","",""
"CY","T","POP","UNK","TOTAL","Y30-49","2011","0","",""
